date,home_team,away_team,winner,first_shooter,date_year,date_month,date_day
2011-01-25,Japan,South Korea,Japan,Japan,2011,1,25
2011-02-08,Romania,Ukraine,Ukraine,,2011,2,8
2011-02-09,Sweden,Ukraine,Ukraine,,2011,2,9
2011-05-08,Guernsey,Jersey,Jersey,,2011,5,8
2011-06-08,Uruguay,Netherlands,Uruguay,Netherlands,2011,6,8
2011-06-18,Costa Rica,Honduras,Honduras,Costa Rica,2011,6,18
2011-06-19,Panama,El Salvador,Panama,Panama,2011,6,19
2011-06-29,Saare County,Åland Islands,Åland Islands,,2011,6,29
2011-06-30,Isle of Man,Menorca,Menorca,,2011,6,30
2011-07-12,Saint Lucia,Aruba,Saint Lucia,,2011,7,12
2011-07-16,Argentina,Uruguay,Uruguay,Argentina,2011,7,16
2011-07-17,Brazil,Paraguay,Paraguay,Brazil,2011,7,17
2011-07-20,Paraguay,Venezuela,Paraguay,Paraguay,2011,7,20
2011-08-11,Mayotte,Mauritius,Mauritius,,2011,8,11
2011-08-13,Seychelles,Mauritius,Seychelles,,2011,8,13
2012-02-05,Gabon,Mali,Mali,Gabon,2012,2,5
2012-02-12,Zambia,Côte d'Ivoire,Zambia,Ivory Coast,2012,2,12
2012-06-03,Finland,Latvia,Latvia,Finland,2012,6,3
2012-06-17,Mozambique,Tanzania,Mozambique,,2012,6,17
2012-06-24,England,Italy,Italy,Italy,2012,6,24
2012-06-27,Portugal,Spain,Spain,Spain,2012,6,27
2012-08-25,Alderney,Sealand,Sealand,,2012,8,25
2012-09-02,India,Cameroon,India,,2012,9,2
2012-09-29,Réunion,Martinique,Réunion,,2012,9,29
2012-10-13,Uganda,Zambia,Zambia,,2012,10,13
2012-11-21,Argentina,Brazil,Brazil,Argentina,2012,11,21
2013-01-23,Sweden,North Korea,Sweden,,2013,1,23
2013-02-02,South Africa,Mali,Mali,South Africa,2013,2,2
2013-02-06,Burkina Faso,Ghana,Burkina Faso,Ghana,2013,2,6
2013-06-27,Spain,Italy,Spain,Italy,2013,6,27
2013-06-30,Uruguay,Italy,Italy,Uruguay,2013,6,30
2013-07-13,Zimbabwe,Malawi,Zimbabwe,,2013,7,13
2013-07-14,Angola,Lesotho,Lesotho,,2013,7,14
2013-07-17,Zambia,South Africa,Zambia,,2013,7,17
2014-05-05,Sealand,Chagos Islands,Chagos Islands,,2014,5,5
2014-05-29,Latvia,Estonia,Latvia,Estonia,2014,5,29
2014-06-04,Abkhazia,South Ossetia,South Ossetia,,2014,6,4
2014-06-04,Ellan Vannin,Iraqi Kurdistan,Ellan Vannin,,2014,6,4
2014-06-05,Padania,Abkhazia,Padania,,2014,6,5
2014-06-05,Occitania,Iraqi Kurdistan,Iraqi Kurdistan,,2014,6,5
2014-06-07,Padania,Iraqi Kurdistan,Padania,,2014,6,7
2014-06-08,County of Nice,Ellan Vannin,County of Nice,,2014,6,8
2014-06-28,Brazil,Chile,Brazil,Brazil,2014,6,28
2014-06-29,Costa Rica,Greece,Costa Rica,Costa Rica,2014,6,29
